rule_id,request_type,risk_level,amount_threshold_pln,required_roles,required_order,exception_allowed,exception_requires_reason,exception_requires_documentation,human_readable_rule,verdict_boundary
APR-RULE-001,PROCUREMENT,LOW,0,"it_review|administration_review|finance_review","request_owner>finance_review",TRUE,TRUE,FALSE,"Low-risk procurement requires operational owner review and finance confirmation before handoff.","This rule creates a human review requirement only. It does not approve, reject, block, punish, or execute any institutional action."
APR-RULE-002,PROCUREMENT,MEDIUM,50000,"finance_review|legal_review","finance_review>legal_review",TRUE,TRUE,TRUE,"Medium-value procurement requires finance review and legal review before handoff when contractual references exist.","This rule creates a human review requirement only. It does not issue legal conclusions, donor compliance conclusions, payment decisions, supplier sanctions, or enforcement actions."
APR-RULE-003,PROCUREMENT,HIGH,100000,"finance_review|legal_review|management_board","finance_review>legal_review>management_board",TRUE,TRUE,TRUE,"High-value procurement requires finance, legal, and management board review before execution readiness or institutional handoff.","This rule creates a human review requirement only. It does not approve procurement, block procurement, or replace management authority."
APR-RULE-004,PROCUREMENT,CRITICAL,200000,"finance_review|legal_review|executive_review","finance_review>legal_review>executive_review",TRUE,TRUE,TRUE,"Critical procurement requires finance review, legal review, and executive review before institutional handoff. Emergency override may be reviewed only when documented.","This rule creates a human review requirement only. It does not authorize emergency execution or replace executive responsibility."
APR-RULE-005,GRANT_EXPENSE,LOW,0,"program_review|finance_review","program_review>finance_review",TRUE,TRUE,FALSE,"Low-risk grant expense requires program review and finance confirmation before handoff.","This rule creates a human review requirement only. It does not issue donor compliance conclusions or payment authorization."
APR-RULE-006,GRANT_EXPENSE,MEDIUM,10000,"program_review|finance_review|document_review","program_review>finance_review>document_review",TRUE,TRUE,TRUE,"Medium-risk grant expense requires program review, finance review, and supporting document review before handoff.","This rule creates a human review requirement only. It does not approve donor reporting, block payments, or certify compliance."
APR-RULE-007,GRANT_EXPENSE,HIGH,50000,"program_review|finance_review|management_board|document_review","program_review>finance_review>management_board>document_review",TRUE,TRUE,TRUE,"High-risk grant expense requires program review, finance review, management review, and supporting document review before institutional handoff.","This rule creates a human review requirement only. It does not issue donor compliance conclusions or replace institutional approval."
APR-RULE-008,CONSULTING,MEDIUM,25000,"finance_review|legal_review","finance_review>legal_review",TRUE,TRUE,TRUE,"Medium consulting request requires finance and legal review before handoff because consulting arrangements may create contractual or budget exposure.","This rule creates a human review requirement only. It does not interpret law or authorize consulting engagement."
APR-RULE-009,CONSULTING,HIGH,75000,"finance_review|legal_review|management_board","finance_review>legal_review>management_board",TRUE,TRUE,TRUE,"High-value consulting request requires finance, legal, and management board review before execution readiness.","This rule creates a human review requirement only. It does not approve consulting work, block work, or issue legal conclusions."
APR-RULE-010,LEGAL_SERVICE,HIGH,30000,"legal_review|finance_review|management_board","legal_review>finance_review>management_board",FALSE,TRUE,TRUE,"High-risk legal service request requires legal owner review, finance review, and management approval before handoff.","This rule creates a human review requirement only. It does not provide legal advice or legal conclusions."
APR-RULE-011,PARTNERSHIP,MEDIUM,0,"research_review|legal_review","research_review>legal_review",TRUE,TRUE,TRUE,"Partnership request requires domain owner review and legal review before activation or institutional handoff.","This rule creates a human review requirement only. It does not approve partnerships or replace authorized signatories."
APR-RULE-012,PARTNERSHIP,HIGH,50000,"research_review|finance_review|legal_review|management_board","research_review>finance_review>legal_review>management_board",TRUE,TRUE,TRUE,"High-risk partnership request requires research, finance, legal, and management review before institutional handoff.","This rule creates a human review requirement only. It does not authorize public institution collaboration or external commitments."
APR-RULE-013,EMERGENCY_OVERRIDE,HIGH,0,"finance_review|legal_review|executive_override","finance_review>legal_review>executive_override",TRUE,TRUE,TRUE,"Emergency override requires finance review, legal review where possible, executive override record, documented reason, and post-event human review.","This rule creates a human review requirement only. It does not authorize emergency action or validate override legality."
APR-RULE-014,ANY,HIGH,100000,"finance_review|management_board","finance_review>management_board",TRUE,TRUE,TRUE,"Any high-value request above 100000 PLN requires finance review and management board review before readiness can be accepted.","This rule creates a human review requirement only. It does not block action or approve spending."
APR-RULE-015,ANY,CRITICAL,200000,"finance_review|legal_review|executive_review","finance_review>legal_review>executive_review",TRUE,TRUE,TRUE,"Any critical request above 200000 PLN requires finance, legal, and executive review before institutional handoff.","This rule creates a human review requirement only. It does not authorize execution, legal approval, or payment."
